Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Toyota,Corolla,2021,4.7,Electric,Automatic,14924,5,3,18301
Audi,A3,2023,5.0,Hybrid,Automatic,12234,5,5,18255
Ford,Explorer,2020,4.8,Electric,Automatic,19112,4,5,18017
Honda,Accord,2022,4.0,Electric,Automatic,14658,4,2,17906
Honda,CR-V,2023,4.6,Hybrid,Automatic,10046,4,4,17899
Hyundai,Elantra,2019,4.6,Electric,Automatic,1406,5,3,17871
Toyota,Corolla,2022,3.6,Electric,Automatic,4015,2,3,17719
Chevrolet,Malibu,2022,4.1,Electric,Automatic,31949,5,1,17661
Kia,Rio,2023,4.2,Hybrid,Automatic,3490,5,2,17630
Mercedes,C-Class,2021,3.9,Electric,Automatic,9279,4,2,17614
BMW,5 Series,2017,4.8,Electric,Automatic,5686,2,1,17386
Chevrolet,Malibu,2021,4.6,Electric,Automatic,59420,3,3,17311
Ford,Explorer,2023,4.1,Electric,Automatic,67072,4,3,17258
BMW,3 Series,2021,4.7,Hybrid,Automatic,23265,5,4,17134
Ford,Explorer,2023,4.6,Electric,Semi-Automatic,26070,2,4,17078
Chevrolet,Impala,2021,3.4,Electric,Automatic,11372,3,1,17072
Chevrolet,Equinox,2019,4.0,Electric,Automatic,12292,5,4,17054
Kia,Rio,2015,4.9,Electric,Automatic,446,5,1,16991
Ford,Focus,2023,4.0,Electric,Automatic,76511,3,4,16969
Chevrolet,Malibu,2023,3.8,Electric,Automatic,69740,2,1,16905
Kia,Optima,2020,5.0,Electric,Automatic,85317,3,1,16893
Toyota,Corolla,2022,4.8,Diesel,Automatic,7292,4,3,16854
Chevrolet,Impala,2022,4.4,Electric,Manual,12784,4,2,16844
Audi,A3,2021,4.0,Electric,Automatic,54066,3,1,16818
Chevrolet,Impala,2021,4.2,Hybrid,Automatic,17008,5,3,16759
Audi,A3,2021,4.6,Electric,Semi-Automatic,12072,2,1,16758
Audi,Q5,2018,4.7,Electric,Automatic,48270,2,1,16734
